condition,model_seed,physical_feature_mode,physics_weight,transition_schema_version,data_seed,split_seed,parameter_count,checkpoint,sha256
Full,42,full,0.5,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_full_seed42\physics_graph_world_model_multistep.pt,5718778d0e3492a0ed70f2910e7ea37f833194ee5fbb9aa9cadf2a453a4853fb
Full,43,full,0.5,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_full_seed43\physics_graph_world_model_multistep.pt,e5a206451bcf7f520dda085e0137c6a6d7b50d4cab201558b2e7aae47bac1f45
Full,44,full,0.5,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_full_seed44\physics_graph_world_model_multistep.pt,3e049fe08ea6bf1f117253ce1f2ef2793c61e59909dc0fda71bf6881f4d179d6
No physics loss,42,full,0.0,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_no_physics_loss_seed42\physics_graph_world_model_multistep.pt,7de6ce90bdaf15f6630607a7b82e15d55a721ee1bfdbf4fafe185e994a010600
No physics loss,43,full,0.0,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_no_physics_loss_seed43\physics_graph_world_model_multistep.pt,07596cd1fc1b694498fa96e8b48a53618e5ecacd0f0244e0dbdb73c0384bfca3
No physics loss,44,full,0.0,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_no_physics_loss_seed44\physics_graph_world_model_multistep.pt,811e7f172b33b7a6fbdef79eb91955bcbe8391f3892567a400c1120d18863333
No physical features,42,zero,0.5,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_no_physical_features_seed42\physics_graph_world_model_multistep.pt,86b1e116f3758b93ca99d2de225bb4f14dff97e6961cdf21dbb45af52397fdcb
No physical features,43,zero,0.5,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_no_physical_features_seed43\physics_graph_world_model_multistep.pt,677ac7270e01c7de279f4060a43f31ff2fb6532d84bddbb2ac2ffa61243c968a
No physical features,44,zero,0.5,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_no_physical_features_seed44\physics_graph_world_model_multistep.pt,390f5f607bc1a46b86b582d6b28d66bf5b0002f27cc8d8bd8008977ccb1bf726
Data-only graph,42,zero,0.0,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_data_only_seed42\physics_graph_world_model_multistep.pt,0b5fc3df6e83770ba58201f35ef48a43da3b9460069137b009e2f3c1a061ea48
Data-only graph,43,zero,0.0,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_data_only_seed43\physics_graph_world_model_multistep.pt,5ff9fd9e17843d46aaa1524ef45d6424b4f01b649c38627337f81ee10d8b4fe8
Data-only graph,44,zero,0.0,assignment_visible_congestion_independent_arrival_streams_v4,4200,4200,299401,world_model_runs\pi_gwm_multistep_v11_arrival_v4_data_only_seed44\physics_graph_world_model_multistep.pt,e35ce3418d21ce0824a6249735df76d578a788ca96bfa1adfd07f0fe910b20ce
