condition,horizon_steps,metric,mae,episode_sd,episode_count
Full,1,delta_time_sec,3.25779892631221,0.6912929153280184,20
Full,1,delta_energy_wh,1.2564322042660119,0.3353393944794433,20
Full,1,blocked_delta,0.21881217276088044,0.0597614219367062,20
Full,3,delta_time_sec,3.546053195804484,0.5294138184360498,20
Full,3,delta_energy_wh,1.5374816065379087,0.2709774297194641,20
Full,3,blocked_delta,0.2820363743152108,0.04941978598863692,20
Full,5,delta_time_sec,3.8965059595771985,0.7017134753266877,20
Full,5,delta_energy_wh,1.76450177674115,0.43309525329267373,20
Full,5,blocked_delta,0.3393242482178479,0.07610645985703278,20
Full,10,delta_time_sec,5.122408643955923,0.7951609345386722,20
Full,10,delta_energy_wh,2.43439163700815,0.5406088782076227,20
Full,10,blocked_delta,0.4962974737634105,0.10365368599349126,20
Full,5_and_10,normalized_composite,0.9574467042814255,0.17771275483471136,20
No physics loss,1,delta_time_sec,3.38513222693894,0.7644568707913922,20
No physics loss,1,delta_energy_wh,1.33775027280807,0.3643558171931168,20
No physics loss,1,blocked_delta,0.23184130372644604,0.06384497060167113,20
No physics loss,3,delta_time_sec,3.66773636481933,0.5470671167599124,20
No physics loss,3,delta_energy_wh,1.6191373787600276,0.30267235446206786,20
No physics loss,3,blocked_delta,0.30291975159315937,0.05854343790062419,20
No physics loss,5,delta_time_sec,3.9187616551224194,0.7223970216342335,20
No physics loss,5,delta_energy_wh,1.8441632123656162,0.41264514897393395,20
No physics loss,5,blocked_delta,0.35739423733809766,0.07035716452291495,20
No physics loss,10,delta_time_sec,4.9061146771354505,0.8641267062301103,20
No physics loss,10,delta_energy_wh,2.4034402168124034,0.5705353008350451,20
No physics loss,10,blocked_delta,0.4981783941871475,0.10343777421291775,20
No physics loss,5_and_10,normalized_composite,0.9652545836008063,0.17897211303642918,20
No physical features,1,delta_time_sec,3.552518070900993,0.7496285354576339,20
No physical features,1,delta_energy_wh,1.465185767739131,0.36815298061913687,20
No physical features,1,blocked_delta,0.2675477134099206,0.07595872741267394,20
No physical features,3,delta_time_sec,3.750922458961542,0.549648310301847,20
No physical features,3,delta_energy_wh,1.6544631213578493,0.3506103004072682,20
No physical features,3,blocked_delta,0.32372503999212,0.06825324265794289,20
No physical features,5,delta_time_sec,3.9371543801283537,0.7953609746780788,20
No physical features,5,delta_energy_wh,1.812279672172502,0.44932985317990065,20
No physical features,5,blocked_delta,0.37300803381517406,0.08615540793260826,20
No physical features,10,delta_time_sec,4.966962202742129,0.9498161207476387,20
No physical features,10,delta_energy_wh,2.415603386277514,0.5945126327203512,20
No physical features,10,blocked_delta,0.5021693423806929,0.10996178076244573,20
No physical features,5_and_10,normalized_composite,0.9742369346686987,0.20238024608439606,20
Data-only graph,1,delta_time_sec,3.6522178282969113,0.7898201319143373,20
Data-only graph,1,delta_energy_wh,1.5129682819740178,0.38450258353191363,20
Data-only graph,1,blocked_delta,0.26892166793472155,0.07542968046109974,20
Data-only graph,3,delta_time_sec,3.8043035532854774,0.5854373699348941,20
Data-only graph,3,delta_energy_wh,1.6995553045899054,0.35488282811822497,20
Data-only graph,3,blocked_delta,0.32388360579281983,0.07119706455055395,20
Data-only graph,5,delta_time_sec,4.037015561765759,0.7818424058985377,20
Data-only graph,5,delta_energy_wh,1.8575274554768941,0.43160378053528875,20
Data-only graph,5,blocked_delta,0.36975644488547804,0.08685214694777334,20
Data-only graph,10,delta_time_sec,5.176339404266092,0.9709318000632512,20
Data-only graph,10,delta_energy_wh,2.523474114715173,0.6110273818126571,20
Data-only graph,10,blocked_delta,0.5182778952619697,0.12052184466548,20
Data-only graph,5_and_10,normalized_composite,1.0000000000000002,0.20422181111619597,20
