parameter_profile,env_variant,reward_mode,scenario,dispatch_rule,capacity_mode,arrival_process,arrival_stream_scheme,arrival_rate_multiplier,agv_count,steps,real_time_sec,uph,throughput,active_jobs,released_jobs,arrival_trace_count,arrival_trace_signature,max_released_jobs,release_cap_reached,conflict_count,blocking_onset_count,blocked_count,blocked_agent_steps,blocked_time_sec,blocked_time_ratio,route_blocking_onset_count,route_blocked_agent_steps,route_blocked_time_sec,charge_queue_onset_count,charge_queue_blocked_agent_steps,charge_queue_time_sec,deadlock_count,deadlock_resolution_time,energy_model_available,energy_efficiency_wh_per_sku,fleet_distribution_entropy,node_visit_entropy,fleet_distribution_entropy_basis,empty_running_ratio,load_balancing_variance,agv_utilization,avg_task_wait_time,avg_task_cycle_time,out_of_battery_rate,timeout_rate,total_energy_wh,total_distance_m,speed_max_mps,edge_speed_multiplier,acceleration_mps2,jerk_mps3,wait_time_s,lift_time_s,rotate_time_s,battery_capacity_wh,base_drive_wh_per_s,rolling_wh_per_m,acceleration_wh,idle_wh_per_s,loaded_energy_factor,charge_soc_per_min,charge_node_capacity,deadlock_soft_steps,deadlock_hard_steps,experiment,method,episode,seed,policy,execution_env_variant,policy_variant,fidelity_dispatch_mode,fixed_time_target_h,fixed_time_target_sec,job_release_cap,episode_reward,mean_guard_enabled,mean_guard_forced_rate,mean_guard_required_rate,mean_guard_intervention_rate,mean_guard_constraint_rate,mean_guard_low_battery_risk,mean_action_override_rate,mean_decision_compute_sec,p95_decision_compute_sec,max_decision_compute_sec,mean_world_model_predicted_risk_reduction,mean_world_model_predicted_energy_reduction_wh,mean_world_model_predicted_throughput_delta,mean_world_model_predicted_time_increase_sec,mean_world_model_predicted_route_blocking_reduction_agent_steps,mean_world_model_predicted_charge_queue_reduction_agent_steps,world_model_risk_gate_threshold,world_model_energy_gate_threshold_wh,world_model_charge_queue_gate_threshold_agent_steps,mean_world_model_risk_gate_applied,mean_world_model_energy_gate_applied,mean_world_model_physical_gate_applied,mean_world_model_override_accepted,mean_world_model_risk_evidence_accepted,mean_world_model_energy_evidence_accepted,mean_world_model_charge_stagger_evidence_accepted,mean_world_model_safe_argmax_accepted,mean_world_model_ensemble_agreement_fraction,mean_world_model_ensemble_agreement_accepted,mean_world_model_analytical_future_conflict_agent_count,mean_world_model_operational_energy_action,mean_world_model_analytical_charge_staggering,mean_world_model_anti_stagnation_applied,mean_world_model_unsafe_candidate_filter_applied,mean_v146_shadow_recommended,mean_v146_predicted_normalized_gain,mean_v146_candidate_count,v146_final_override_count,mean_v146_permanent_fallback,mean_reward_component_composed_reward,mean_reward_component_local_reward_sum,mean_reward_component_local_reward_mean,mean_reward_component_global_reward,mean_reward_component_entropy_bonus,mean_reward_component_balance_penalty,mean_reward_component_waiting_jobs_penalty,mean_reward_component_deliveries_this_step,mean_reward_component_conflict_events,mean_reward_component_step_time_sec,fixed_time_reached,fixed_time_overshoot_sec,paired_arrival_count,paired_arrival_signature,v146_protocol,v146_phase,v146_decision_steps,v146_shadow_recommendation_count,v146_accepted_override_count,v146_accepted_override_rate
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2831.0,14420.69999999992,0.24964114086001513,1.0,333.0,334.0,334.0,b872836e41f370ca3b9ccc8f8aa05f468fa6e73949f8c4d405782455e72ec1d6,-1.0,0.0,6921.0,183.0,6921.0,6921.0,30954.683333333174,0.7155150428049805,183.0,6921.0,30954.683333333174,0.0,0.0,0.0,181.0,29.14999999999977,1.0,2481.4645333332064,0.5194306208630957,0.5111509114917125,physical_time_seconds,0.9766217719016435,0.22222222222222224,0.22367191298311132,23.731375858259696,163.42830823368953,0.0,0.0,2481.4645333332064,8093.000000000001,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,Guarded DT-aware baseline,16001,16001,world_model_guarded,full,full,False,4.0,14400.0,none,-438075.5531644798,1.0,0.10549864594371837,0.10832450253149653,0.10549864594371837,0.10832450253149653,8.116324554845934e-05,0.10549864594371837,0.0001838106323974105,0.00019660001271404326,0.00039790000300854445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154.74233598180135,-65.84764538303983,-21.949215127679945,-89.91706623391704,1.06540715130609,0.043031516150555366,28.326527728717764,0.00035323207347227127,2.4447191805015898,5.093853761921583,1.0,20.699999999920692,334.0,b872836e41f370ca3b9ccc8f8aa05f468fa6e73949f8c4d405782455e72ec1d6,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2831,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2831.0,14420.69999999992,0.24964114086001513,1.0,333.0,334.0,334.0,b872836e41f370ca3b9ccc8f8aa05f468fa6e73949f8c4d405782455e72ec1d6,-1.0,0.0,6918.0,186.0,6918.0,6918.0,30948.683333333174,0.7153763532822804,186.0,6918.0,30948.683333333174,0.0,0.0,0.0,180.0,29.149999999999768,1.0,2481.4645333332064,0.5194306208630957,0.5111509114917125,physical_time_seconds,0.9766217719016435,0.22222222222222224,0.22367191298311132,23.731375858259696,163.42830823368953,0.0,0.0,2481.4645333332064,8093.000000000001,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,V14.7b-R1 horizon-isolated world model,16001,16001,world_model_guarded,full,full,False,4.0,14400.0,none,-437806.7531644798,1.0,0.10549864594371837,0.10832450253149653,0.10549864594371837,0.10832450253149653,8.116324554845934e-05,0.10549864594371837,0.0010091093254736346,0.0010151000024052337,0.1539739999861922,0.0,0.0008488342308063298,-2.5069461467618953e-05,0.0,0.0,0.0007434593666909399,0.0,0.0,0.0,0.0,0.0,0.0,0.00035323207347227127,0.0,0.0,0.0,0.0,0.007064641469445425,0.00035323207347227127,0.0,0.0,0.0,0.0,0.0,0.004945249028611798,0.0012287630204031947,0.06852702225362063,1.0,0.9572589191098552,-154.64738720045202,-65.77918900720091,-21.92639633573364,-89.89057382840662,1.06540715130609,0.043031516150555366,28.326527728717764,0.00035323207347227127,2.4436594842811727,5.093853761921583,1.0,20.699999999920692,334.0,b872836e41f370ca3b9ccc8f8aa05f468fa6e73949f8c4d405782455e72ec1d6,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2831,14,1,0.00035323207347227127
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2234.0,14406.766666666694,24.48849267589531,98.0,272.0,370.0,370.0,fbbb52e54b93d007aea64469f0eb7a4a067bf0d0a8a9d417e1fed07c06fb0e66,-1.0,0.0,5548.0,149.0,5669.0,5669.0,18643.650000000005,0.4313632714256951,149.0,5669.0,18643.650000000005,0.0,0.0,0.0,46.0,101.01594202898555,1.0,52.36910093537472,0.795487490247783,0.7233514565361537,physical_time_seconds,0.21455056898094874,46.88888888888889,0.39950092896162065,5547.4670484270955,5688.566350406997,0.0,0.0,5132.171891666722,14077.8,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,Guarded DT-aware baseline,16002,16002,world_model_guarded,full,full,False,4.0,14400.0,none,-307864.4691307312,1.0,0.0,0.0,0.0,0.0,0.0010449635039442105,0.0,0.0002622098029257009,0.00034619998768903315,0.000596199999563396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137.8086253942396,-56.5710085874003,-18.857002862466768,-78.50775021098282,1.5774048653988588,4.307271461255346,20.14827663384064,0.043867502238137866,2.483437779767234,6.448866010146225,1.0,6.766666666693709,370.0,fbbb52e54b93d007aea64469f0eb7a4a067bf0d0a8a9d417e1fed07c06fb0e66,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2234,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2239.0,14408.450000000028,24.485631695289868,98.0,272.0,370.0,370.0,fbbb52e54b93d007aea64469f0eb7a4a067bf0d0a8a9d417e1fed07c06fb0e66,-1.0,0.0,5557.0,152.0,5683.0,5683.0,18663.33333333334,0.4317682409357773,152.0,5683.0,18663.33333333334,0.0,0.0,0.0,46.0,101.01594202898555,1.0,52.3109613945584,0.7955037090705227,0.7243207589637626,physical_time_seconds,0.21473360917971251,46.88888888888889,0.3990540273242422,5558.872989021155,5700.321452447814,0.0,0.0,5126.474216666723,14065.8,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,V14.7b-R1 horizon-isolated world model,16002,16002,world_model_guarded,full,full,False,4.0,14400.0,none,-308526.07004900184,1.0,0.0,0.0,0.0,0.0,0.0010264273288253466,0.0,0.0009914993749344542,0.0012120300030801444,0.02296619999106042,0.0,0.001149381681870754,2.2597765997584614e-07,0.0,0.0,-0.0002013817063502405,0.0,0.0,0.0,0.0,0.0,0.0,0.00044662795891022776,0.0,0.0,0.0,0.0,0.004912907548012505,0.00044662795891022776,0.0,0.0,0.0,0.0,0.0,0.0031263957123715946,0.0006718439446189643,0.03841000446627959,1.0,0.9825815096025011,-137.79636893657954,-56.61132332030634,-18.870441106768777,-78.46877591590332,1.5773137446204426,4.293583444990323,20.134836980794997,0.04376953997320232,2.481911567664136,6.435216614560071,1.0,8.450000000028012,370.0,fbbb52e54b93d007aea64469f0eb7a4a067bf0d0a8a9d417e1fed07c06fb0e66,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2239,7,1,0.00044662795891022776
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2784.0,14400.999999999922,0.24998264009443927,1.0,345.0,346.0,346.0,d280dacb02fcccfc492dda540be8a8e0205e99c11f353b16ecdc7680c6e70664,-1.0,0.0,6988.0,186.0,6988.0,6988.0,31293.03333333317,0.7243254712249922,186.0,6988.0,31293.03333333317,0.0,0.0,0.0,183.0,29.139071038251135,1.0,2503.213508333205,0.5016500155077832,0.47951093355617613,physical_time_seconds,0.974293750764339,0.22222222222222224,0.22649160166346452,28.557895643156087,175.67965375160801,0.0,0.0,2503.213508333205,8177.000000000001,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,Guarded DT-aware baseline,16003,16003,world_model_guarded,full,full,False,4.0,14400.0,none,-446331.0425855694,1.0,0.10727969348659004,0.11003352490421457,0.10727969348659004,0.11003352490421457,7.364974678926453e-05,0.10727969348659004,0.0002367201864478699,0.00025430999085074285,0.0004910999850835651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-160.32005839998928,-67.58180077631496,-22.52726692543832,-93.70977610666996,1.0156117141578571,0.04409323116219668,30.47737068965517,0.00035919540229885057,2.5100574712643677,5.172772988505748,1.0,0.9999999999217835,346.0,d280dacb02fcccfc492dda540be8a8e0205e99c11f353b16ecdc7680c6e70664,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2784,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2784.0,14400.999999999922,0.24998264009443927,1.0,345.0,346.0,346.0,d280dacb02fcccfc492dda540be8a8e0205e99c11f353b16ecdc7680c6e70664,-1.0,0.0,6985.0,189.0,6985.0,6985.0,31287.03333333317,0.7241865919804953,189.0,6985.0,31287.03333333317,0.0,0.0,0.0,183.0,29.11721311475387,1.0,2503.213508333205,0.5016500155077832,0.47951093355617613,physical_time_seconds,0.974293750764339,0.22222222222222224,0.22649160166346452,28.557895643156087,175.67965375160801,0.0,0.0,2503.213508333205,8177.000000000001,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,V14.7b-R1 horizon-isolated world model,16003,16003,world_model_guarded,full,full,False,4.0,14400.0,none,-446182.2425855693,1.0,0.10727969348659004,0.11003352490421457,0.10727969348659004,0.11003352490421457,7.364974678926453e-05,0.10727969348659004,0.0009971932473469688,0.0011109549945103935,0.022312700020847842,0.0,0.0007901592501278581,-9.498859343557865e-06,0.0,0.0,0.00039873644709587097,0.0,0.0,0.0,0.0,0.0,0.0,0.00035919540229885057,0.0,0.0,0.0,0.0,0.00646551724137931,0.00035919540229885057,0.0,0.0,0.0,0.0,0.0,0.002514367816091954,0.0007637621539040964,0.04525862068965517,1.0,0.9849137931034483,-160.2666101241272,-67.5552921556253,-22.51843071854177,-93.68283645149754,1.0156117141578571,0.04409323116219668,30.47737068965517,0.00035919540229885057,2.5089798850574714,5.172772988505748,1.0,0.9999999999217835,346.0,d280dacb02fcccfc492dda540be8a8e0205e99c11f353b16ecdc7680c6e70664,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2784,7,1,0.00035919540229885057
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2428.0,14402.433333333358,20.49653646490289,82.0,270.0,352.0,352.0,c711f23727853f191368ac1518b76897a889d6694950f3f5194a664cbc3a3776,-1.0,0.0,6141.0,166.0,6309.0,6309.0,17520.14999999999,0.4054905073911112,166.0,6309.0,17520.14999999999,0.0,0.0,0.0,56.0,108.23928571428571,1.0,60.349168495935906,0.8149276216339469,0.7767399447464481,physical_time_seconds,0.20906231428198704,6.222222222222222,0.3806166241969901,4815.2117700989775,5094.6140532550035,0.0,0.0,4948.631816666744,13797.799999999997,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,Guarded DT-aware baseline,16004,16004,world_model_guarded,full,full,False,4.0,14400.0,none,-340389.89653832774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002703063428855334,0.00033726498804753646,0.0006227999983821064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.1935323469225,-60.604617421897494,-20.201539140632494,-80.49414801259286,1.6236661829367012,0.718433095368845,20.092710049423392,0.03377265238879736,2.5292421746293248,5.931809445359693,1.0,2.4333333333579503,352.0,c711f23727853f191368ac1518b76897a889d6694950f3f5194a664cbc3a3776,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2428,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2428.0,14402.433333333358,20.49653646490289,82.0,270.0,352.0,352.0,c711f23727853f191368ac1518b76897a889d6694950f3f5194a664cbc3a3776,-1.0,0.0,6138.0,169.0,6306.0,6306.0,17514.14999999999,0.4053516419679073,169.0,6306.0,17514.14999999999,0.0,0.0,0.0,56.0,108.23928571428571,1.0,60.349168495935906,0.8149276216339469,0.7767399447464481,physical_time_seconds,0.20906231428198704,6.222222222222222,0.3806166241969901,4815.2117700989775,5094.6140532550035,0.0,0.0,4948.631816666744,13797.799999999997,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,V14.7b-R1 horizon-isolated world model,16004,16004,world_model_guarded,full,full,False,4.0,14400.0,none,-340241.09653832775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009804747528857796,0.0011627650063019245,0.023241400020197034,0.0,0.0010333018994213524,-5.815506880547502e-06,0.0,0.0,0.00010055650326329755,0.0,0.0,0.0,0.0,0.0,0.0,0.00041186161449752884,0.0,0.0,0.0,0.0,0.004942339373970346,0.00041186161449752884,0.0,0.0,0.0,0.0,0.0,0.0016474464579901153,0.0005370806392570825,0.05024711696869852,1.0,0.978171334431631,-140.13224733868523,-60.57422203474756,-20.191407344915852,-80.46325839150555,1.6236661829367012,0.718433095368845,20.092710049423392,0.03377265238879736,2.528006589785832,5.931809445359693,1.0,2.4333333333579503,352.0,c711f23727853f191368ac1518b76897a889d6694950f3f5194a664cbc3a3776,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2428,4,1,0.00041186161449752884
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2245.0,14402.466666666694,20.4964890273425,82.0,293.0,375.0,375.0,f6d8856a1950a33a77a416fdc21ca0ec94907eb9eca53fc6e62f14177a19360c,-1.0,0.0,5742.0,163.0,5743.0,5743.0,17849.850000000013,0.4131202062609641,163.0,5743.0,17849.850000000013,0.0,0.0,0.0,62.0,92.19838709677427,1.0,59.01346443089492,0.8125865944375754,0.7636574570528608,physical_time_seconds,0.23909505446974524,8.222222222222223,0.3779830924023805,4566.936547081192,4814.683643105558,0.0,0.0,4839.104083333384,13640.599999999982,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,Guarded DT-aware baseline,16005,16005,world_model_guarded,full,full,False,4.0,14400.0,none,-314584.6928851503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026956463234192114,0.0003342399839311837,0.0005673999839928001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.12681197556813,-59.23930381519033,-19.746434605063445,-81.3974904221688,1.6240827319716629,1.1141004701806483,20.55521158129176,0.03652561247216036,2.557683741648107,6.415352635486266,1.0,2.4666666666944366,375.0,f6d8856a1950a33a77a416fdc21ca0ec94907eb9eca53fc6e62f14177a19360c,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2245,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2251.0,14414.466666666694,20.479425762081572,82.0,293.0,375.0,375.0,f6d8856a1950a33a77a416fdc21ca0ec94907eb9eca53fc6e62f14177a19360c,-1.0,0.0,5757.0,166.0,5758.0,5758.0,17879.850000000013,0.413470032421132,166.0,5758.0,17879.850000000013,0.0,0.0,0.0,62.0,92.19838709677427,1.0,59.017854674797356,0.8125293711258791,0.7636146658755771,physical_time_seconds,0.23909505446974524,8.222222222222223,0.3776684226186335,4578.0794042240495,4826.2446187153155,0.0,0.0,4839.464083333383,13640.599999999982,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N10_horizon_isolated_4h_closed_loop_pilot_recovery_sync,V14.7b-R1 horizon-isolated world model,16005,16005,world_model_guarded,full,full,False,4.0,14400.0,none,-315443.8533975727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010739847179512593,0.0011719999893102795,0.020852599991485476,0.0,0.0014992569457790894,-1.4000872223708747e-05,0.0,0.0,-0.00027227060151915715,0.0,0.0,0.0,0.0,0.0,0.0,0.000444247001332741,0.0,0.0,0.0,0.0,0.005775211017325633,0.000444247001332741,0.0,0.0,0.0,0.0,0.0,0.003109729009329187,0.0008529480875633999,0.05730786317192359,1.0,0.9542425588627277,-140.13498596071642,-59.2509709091613,-19.7503236363871,-81.39620810714739,1.6233239110145554,1.1111308554222814,20.546534873389604,0.03642825410928476,2.55752998667259,6.403583592477418,1.0,14.466666666694437,375.0,f6d8856a1950a33a77a416fdc21ca0ec94907eb9eca53fc6e62f14177a19360c,v147b_r1_recovery_synchronized_4h_development_v2,horizon_isolated_development,2251,7,1,0.000444247001332741
