parameter_profile,env_variant,reward_mode,scenario,dispatch_rule,capacity_mode,arrival_process,arrival_stream_scheme,arrival_rate_multiplier,agv_count,steps,real_time_sec,uph,throughput,active_jobs,released_jobs,arrival_trace_count,arrival_trace_signature,max_released_jobs,release_cap_reached,conflict_count,blocking_onset_count,blocked_count,blocked_agent_steps,blocked_time_sec,blocked_time_ratio,route_blocking_onset_count,route_blocked_agent_steps,route_blocked_time_sec,charge_queue_onset_count,charge_queue_blocked_agent_steps,charge_queue_time_sec,deadlock_count,deadlock_resolution_time,energy_model_available,energy_efficiency_wh_per_sku,fleet_distribution_entropy,node_visit_entropy,fleet_distribution_entropy_basis,empty_running_ratio,load_balancing_variance,agv_utilization,avg_task_wait_time,avg_task_cycle_time,out_of_battery_rate,timeout_rate,total_energy_wh,total_distance_m,speed_max_mps,edge_speed_multiplier,acceleration_mps2,jerk_mps3,wait_time_s,lift_time_s,rotate_time_s,battery_capacity_wh,base_drive_wh_per_s,rolling_wh_per_m,acceleration_wh,idle_wh_per_s,loaded_energy_factor,charge_soc_per_min,charge_node_capacity,deadlock_soft_steps,deadlock_hard_steps,experiment,method,episode,seed,policy,execution_env_variant,policy_variant,fidelity_dispatch_mode,fixed_time_target_h,fixed_time_target_sec,job_release_cap,episode_reward,mean_guard_enabled,mean_guard_forced_rate,mean_guard_required_rate,mean_guard_intervention_rate,mean_guard_constraint_rate,mean_guard_low_battery_risk,mean_action_override_rate,mean_decision_compute_sec,p95_decision_compute_sec,max_decision_compute_sec,mean_world_model_predicted_risk_reduction,mean_world_model_predicted_energy_reduction_wh,mean_world_model_predicted_throughput_delta,mean_world_model_predicted_time_increase_sec,mean_world_model_predicted_route_blocking_reduction_agent_steps,mean_world_model_predicted_charge_queue_reduction_agent_steps,world_model_risk_gate_threshold,world_model_energy_gate_threshold_wh,world_model_charge_queue_gate_threshold_agent_steps,mean_world_model_risk_gate_applied,mean_world_model_energy_gate_applied,mean_world_model_physical_gate_applied,mean_world_model_override_accepted,mean_world_model_risk_evidence_accepted,mean_world_model_energy_evidence_accepted,mean_world_model_charge_stagger_evidence_accepted,mean_world_model_safe_argmax_accepted,mean_world_model_ensemble_agreement_fraction,mean_world_model_ensemble_agreement_accepted,mean_world_model_analytical_future_conflict_agent_count,mean_world_model_operational_energy_action,mean_world_model_analytical_charge_staggering,mean_world_model_anti_stagnation_applied,mean_world_model_unsafe_candidate_filter_applied,mean_v146_shadow_recommended,mean_v146_predicted_normalized_gain,mean_v146_candidate_count,v146_final_override_count,mean_v146_permanent_fallback,mean_reward_component_composed_reward,mean_reward_component_local_reward_sum,mean_reward_component_local_reward_mean,mean_reward_component_global_reward,mean_reward_component_entropy_bonus,mean_reward_component_balance_penalty,mean_reward_component_waiting_jobs_penalty,mean_reward_component_deliveries_this_step,mean_reward_component_conflict_events,mean_reward_component_step_time_sec,fixed_time_reached,fixed_time_overshoot_sec,paired_arrival_count,paired_arrival_signature,v146_protocol,v146_phase,v146_decision_steps,v146_shadow_recommendation_count,v146_accepted_override_count,v146_accepted_override_rate
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1448.0,14401.150000000032,30.24758439430177,121.0,7.0,128.0,128.0,8bbd7258681b293f171129573e6eb88548b3ba5cacb917306b014b99cfc5665a,-1.0,0.0,49.0,10.0,49.0,49.0,253.01666666666668,0.005856399585372605,10.0,49.0,253.01666666666668,0.0,0.0,0.0,1.0,111.98333333333333,1.0,51.39461046832016,0.8828754575025168,0.8390747597753218,physical_time_seconds,0.347700572906217,22.222222222222225,0.5045893325648741,197.62605871432416,342.24071009653744,0.0,0.0,6218.747866666739,17943.600000000006,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,Guarded DT-aware baseline,17001,17001,world_model_guarded,full,full,False,4.0,14400.0,none,38708.52760659955,1.0,0.05847145488029466,0.06353591160220995,0.05847145488029466,0.06353591160220995,0.00022666841297839282,0.05847145488029466,0.00013550946146323093,0.0002867750008590517,0.0005120999994687736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.732408568093618,20.811779364986187,6.937259788328729,6.443808701657457,1.5959426622848387,2.1191221608348676,0.07199585635359115,0.0835635359116022,0.03383977900552486,9.945545580110497,1.0,1.150000000032378,128.0,8bbd7258681b293f171129573e6eb88548b3ba5cacb917306b014b99cfc5665a,v148_nominal_steady_4h_development_v1,horizon_isolated_development,1448,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1448.0,14401.150000000032,30.24758439430177,121.0,7.0,128.0,128.0,8bbd7258681b293f171129573e6eb88548b3ba5cacb917306b014b99cfc5665a,-1.0,0.0,49.0,10.0,49.0,49.0,253.01666666666668,0.005856399585372605,10.0,49.0,253.01666666666668,0.0,0.0,0.0,1.0,111.98333333333333,1.0,51.39461046832016,0.8828754575025168,0.8390747597753218,physical_time_seconds,0.347700572906217,22.222222222222225,0.5045893325648741,197.62605871432416,342.24071009653744,0.0,0.0,6218.747866666739,17943.600000000006,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,V14.8 horizon-isolated world model,17001,17001,world_model_guarded,full,full,False,4.0,14400.0,none,38708.52760659955,1.0,0.05847145488029466,0.06353591160220995,0.05847145488029466,0.06353591160220995,0.00022666841297839282,0.05847145488029466,0.006360680524905235,0.020555349998176098,0.13028049998683855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06698895027624309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008167521421189287,0.9191988950276243,0.0,0.0,26.732408568093618,20.811779364986187,6.937259788328729,6.443808701657457,1.5959426622848387,2.1191221608348676,0.07199585635359115,0.0835635359116022,0.03383977900552486,9.945545580110497,1.0,1.150000000032378,128.0,8bbd7258681b293f171129573e6eb88548b3ba5cacb917306b014b99cfc5665a,v148_nominal_steady_4h_development_v1,horizon_isolated_development,1448,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,2051.0,14410.633333333357,24.731737443878206,99.0,9.0,108.0,108.0,ed115ae340d4d303d606db9fcb05f4267b7b24bc53724d70a935856feacad65c,-1.0,0.0,45.0,6.0,45.0,45.0,162.08333333333331,0.0037491605350061658,6.0,45.0,162.08333333333331,0.0,0.0,0.0,1.0,127.31666666666666,1.0,56.16351969697026,0.9000751580931403,0.8405391556214977,physical_time_seconds,0.3877213843169157,28.666666666666668,0.4456820850652706,160.63608914203596,308.8168028502151,0.0,0.0,5560.188450000056,15979.000000000004,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,Guarded DT-aware baseline,17002,17002,world_model_guarded,full,full,False,4.0,14400.0,none,26544.38252473443,1.0,0.014301966520396553,0.06078335771168535,0.014301966520396553,0.06078335771168535,0.0019856124244027563,0.014301966520396553,0.00011466640679868186,0.00026169999910052866,0.00041920001967810094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.942166028636974,12.12489835612709,4.041632785375697,3.548872094913051,1.650128065813961,4.381732488217129,0.026913700633837148,0.04826913700633837,0.021940516821062895,7.026149845603771,1.0,10.633333333356859,107.0,709d464075289bbf06d748395995eea37f8167ff2ef50dc5ba915d73cb573498,v148_nominal_steady_4h_development_v1,horizon_isolated_development,2051,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,2051.0,14410.633333333357,24.731737443878206,99.0,9.0,108.0,108.0,ed115ae340d4d303d606db9fcb05f4267b7b24bc53724d70a935856feacad65c,-1.0,0.0,45.0,6.0,45.0,45.0,162.08333333333331,0.0037491605350061658,6.0,45.0,162.08333333333331,0.0,0.0,0.0,1.0,127.31666666666666,1.0,56.16351969697026,0.9000751580931403,0.8405391556214977,physical_time_seconds,0.3877213843169157,28.666666666666668,0.4456820850652706,160.63608914203596,308.8168028502151,0.0,0.0,5560.188450000056,15979.000000000004,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,V14.8 horizon-isolated world model,17002,17002,world_model_guarded,full,full,False,4.0,14400.0,none,26544.38252473443,1.0,0.014301966520396553,0.06078335771168535,0.014301966520396553,0.06078335771168535,0.0019856124244027563,0.014301966520396553,0.004403220575712308,0.020296850008890033,0.02464799999142997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026328620185275476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004214026131288416,0.6372501218917601,0.0,0.0,12.942166028636974,12.12489835612709,4.041632785375697,3.548872094913051,1.650128065813961,4.381732488217129,0.026913700633837148,0.04826913700633837,0.021940516821062895,7.026149845603771,1.0,10.633333333356859,107.0,709d464075289bbf06d748395995eea37f8167ff2ef50dc5ba915d73cb573498,v148_nominal_steady_4h_development_v1,horizon_isolated_development,2051,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1854.0,14401.150000000018,26.49788384955365,106.0,8.0,114.0,114.0,837a53a89be812583e91c649562b2b9f621955496dccf09bbf50c0c3ec7dcb52,-1.0,0.0,3.0,3.0,3.0,3.0,61.95,0.0014339132638712864,3.0,3.0,61.95,0.0,0.0,0.0,0.0,0.0,1.0,55.178739622640926,0.879491504315721,0.7792636685619718,physical_time_seconds,0.38413611880670095,13.555555555555557,0.4713308003566059,227.32826910036385,372.2245537360643,0.0,0.0,5848.946399999938,16820.60000000001,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,Guarded DT-aware baseline,17003,17003,world_model_guarded,full,full,False,4.0,14400.0,none,33930.63520352043,1.0,0.016720604099244876,0.02373247033441209,0.016720604099244876,0.02373247033441209,0.0011900190748965467,0.016720604099244876,0.00011933937394025031,0.0002691700123250484,0.0004361000028438866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.30131348625697,15.168764037756203,5.056254679252067,4.841577669902913,1.6537669362150154,3.3627951576171635,0.05857605177993529,0.05717367853290183,0.0016181229773462784,7.767610571736785,1.0,1.150000000017826,114.0,837a53a89be812583e91c649562b2b9f621955496dccf09bbf50c0c3ec7dcb52,v148_nominal_steady_4h_development_v1,horizon_isolated_development,1854,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1854.0,14401.150000000018,26.49788384955365,106.0,8.0,114.0,114.0,837a53a89be812583e91c649562b2b9f621955496dccf09bbf50c0c3ec7dcb52,-1.0,0.0,3.0,3.0,3.0,3.0,61.95,0.0014339132638712864,3.0,3.0,61.95,0.0,0.0,0.0,0.0,0.0,1.0,55.178739622640926,0.879491504315721,0.7792636685619718,physical_time_seconds,0.38413611880670095,13.555555555555557,0.4713308003566059,227.32826910036385,372.2245537360643,0.0,0.0,5848.946399999938,16820.60000000001,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,V14.8 horizon-isolated world model,17003,17003,world_model_guarded,full,full,False,4.0,14400.0,none,33930.63520352043,1.0,0.016720604099244876,0.02373247033441209,0.016720604099244876,0.02373247033441209,0.0011900190748965467,0.016720604099244876,0.004537349082601127,0.02049252999422606,0.025170400011120364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028047464940668825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002685068472200139,0.645091693635383,0.0,0.0,18.30131348625697,15.168764037756203,5.056254679252067,4.841577669902913,1.6537669362150154,3.3627951576171635,0.05857605177993529,0.05717367853290183,0.0016181229773462784,7.767610571736785,1.0,1.150000000017826,114.0,837a53a89be812583e91c649562b2b9f621955496dccf09bbf50c0c3ec7dcb52,v148_nominal_steady_4h_development_v1,horizon_isolated_development,1854,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1327.0,14406.283333333351,29.23724254578728,117.0,23.0,140.0,140.0,535e597050681309f187978db32b0d71c662fa17db8ce3af7be55dc9d4bd6d93,-1.0,0.0,1.0,1.0,1.0,1.0,15.316666666666666,0.00035439783026773385,1.0,1.0,15.316666666666666,0.0,0.0,0.0,0.0,0.0,1.0,54.367531054130986,0.9100938405285849,0.9229774325577642,physical_time_seconds,0.3995600935879323,20.666666666666668,0.5187477994748423,295.3298786820298,426.9598275603783,0.0,0.0,6361.001133333325,18549.400000000012,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,Guarded DT-aware baseline,17004,17004,world_model_guarded,full,full,False,4.0,14400.0,none,43088.07395083173,1.0,0.07686510926902787,0.08691283597086158,0.07686510926902787,0.08691283597086158,0.0008571023995923061,0.07686510926902787,0.00013981446895847333,0.00029070000164210796,0.0004808999947272241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.470289337476814,24.067230094448632,8.022410031482876,7.454914594323035,1.6246915799619503,0.6765469312568032,0.25749811605124334,0.08816880180859081,0.0007535795026375283,10.856279829188646,1.0,6.283333333351038,140.0,535e597050681309f187978db32b0d71c662fa17db8ce3af7be55dc9d4bd6d93,v148_nominal_steady_4h_development_v1,horizon_isolated_development,1327,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1327.0,14406.283333333351,29.23724254578728,117.0,23.0,140.0,140.0,535e597050681309f187978db32b0d71c662fa17db8ce3af7be55dc9d4bd6d93,-1.0,0.0,1.0,1.0,1.0,1.0,15.316666666666666,0.00035439783026773385,1.0,1.0,15.316666666666666,0.0,0.0,0.0,0.0,0.0,1.0,54.367531054130986,0.9100938405285849,0.9229774325577642,physical_time_seconds,0.3995600935879323,20.666666666666668,0.5187477994748423,295.3298786820298,426.9598275603783,0.0,0.0,6361.001133333325,18549.400000000012,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,V14.8 horizon-isolated world model,17004,17004,world_model_guarded,full,full,False,4.0,14400.0,none,43088.07395083173,1.0,0.07686510926902787,0.08691283597086158,0.07686510926902787,0.08691283597086158,0.0008571023995923061,0.07686510926902787,0.006670120874159782,0.020757099986076357,0.025489999999990687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03014318010550113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016858728693005588,1.0828937452901282,0.0,0.0,32.470289337476814,24.067230094448632,8.022410031482876,7.454914594323035,1.6246915799619503,0.6765469312568032,0.25749811605124334,0.08816880180859081,0.0007535795026375283,10.856279829188646,1.0,6.283333333351038,140.0,535e597050681309f187978db32b0d71c662fa17db8ce3af7be55dc9d4bd6d93,v148_nominal_steady_4h_development_v1,horizon_isolated_development,1327,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1417.0,14406.333333333347,28.237580693676367,113.0,15.0,128.0,128.0,63143deda4de0219dc2250c56b5b6588730ce34eb0f3f1c7dfd1ddfd16f62925,-1.0,0.0,488.0,11.0,488.0,488.0,1095.6666666666665,0.025351504353794983,10.0,10.0,139.66666666666666,1.0,478.0,956.0,0.0,0.0,1.0,59.868729351034155,0.8734850239037389,0.8097107324174072,physical_time_seconds,0.4179649932679357,21.555555555555557,0.5486059372035436,355.0141065391167,495.88459287232206,0.0,0.0,6765.16641666686,19756.20000000001,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,Guarded DT-aware baseline,17005,17005,world_model_guarded,full,full,False,4.0,14400.0,none,18889.166025431787,1.0,0.2672312397083039,0.3987297106563162,0.2672312397083039,0.3987297106563162,0.02121199195738392,0.2672312397083039,0.00014070465772339762,0.00028466001385822897,0.0006070999952498823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.330392396211579,14.63338239620089,4.877794132066964,-2.1841801928957905,1.6606146420556942,0.7794244491492199,0.5323570924488356,0.07974594213126324,0.34438955539872973,10.166784286050342,1.0,6.333333333346673,128.0,63143deda4de0219dc2250c56b5b6588730ce34eb0f3f1c7dfd1ddfd16f62925,v148_nominal_steady_4h_development_v1,horizon_isolated_development,1417,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1417.0,14406.333333333347,28.237580693676367,113.0,15.0,128.0,128.0,63143deda4de0219dc2250c56b5b6588730ce34eb0f3f1c7dfd1ddfd16f62925,-1.0,0.0,488.0,11.0,488.0,488.0,1095.6666666666665,0.025351504353794983,10.0,10.0,139.66666666666666,1.0,478.0,956.0,0.0,0.0,1.0,59.868729351034155,0.8734850239037389,0.8097107324174072,physical_time_seconds,0.4179649932679357,21.555555555555557,0.5486059372035436,355.0141065391167,495.88459287232206,0.0,0.0,6765.16641666686,19756.20000000001,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N11_nominal_steady_4h_closed_loop_development,V14.8 horizon-isolated world model,17005,17005,world_model_guarded,full,full,False,4.0,14400.0,none,18889.166025431787,1.0,0.2672312397083039,0.3987297106563162,0.2672312397083039,0.3987297106563162,0.02121199195738392,0.2672312397083039,0.006858531403960463,0.02091031998861581,0.024728499993216246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026817219477769938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000389907196366968,1.2131263232180662,0.0,0.0,13.330392396211579,14.63338239620089,4.877794132066964,-2.1841801928957905,1.6606146420556942,0.7794244491492199,0.5323570924488356,0.07974594213126324,0.34438955539872973,10.166784286050342,1.0,6.333333333346673,128.0,63143deda4de0219dc2250c56b5b6588730ce34eb0f3f1c7dfd1ddfd16f62925,v148_nominal_steady_4h_development_v1,horizon_isolated_development,1417,0,0,0.0
