parameter_profile,env_variant,reward_mode,scenario,dispatch_rule,capacity_mode,arrival_process,arrival_stream_scheme,arrival_rate_multiplier,agv_count,steps,real_time_sec,uph,throughput,active_jobs,released_jobs,arrival_trace_count,arrival_trace_signature,max_released_jobs,release_cap_reached,conflict_count,blocking_onset_count,blocked_count,blocked_agent_steps,blocked_time_sec,blocked_time_ratio,route_blocking_onset_count,route_blocked_agent_steps,route_blocked_time_sec,charge_queue_onset_count,charge_queue_blocked_agent_steps,charge_queue_time_sec,deadlock_count,deadlock_resolution_time,energy_model_available,energy_efficiency_wh_per_sku,fleet_distribution_entropy,node_visit_entropy,fleet_distribution_entropy_basis,empty_running_ratio,load_balancing_variance,agv_utilization,avg_task_wait_time,avg_task_cycle_time,out_of_battery_rate,timeout_rate,total_energy_wh,total_distance_m,speed_max_mps,edge_speed_multiplier,acceleration_mps2,jerk_mps3,wait_time_s,lift_time_s,rotate_time_s,battery_capacity_wh,base_drive_wh_per_s,rolling_wh_per_m,acceleration_wh,idle_wh_per_s,loaded_energy_factor,charge_soc_per_min,charge_node_capacity,deadlock_soft_steps,deadlock_hard_steps,experiment,method,episode,seed,policy,execution_env_variant,policy_variant,fidelity_dispatch_mode,fixed_time_target_h,fixed_time_target_sec,job_release_cap,episode_reward,mean_guard_enabled,mean_guard_forced_rate,mean_guard_required_rate,mean_guard_intervention_rate,mean_guard_constraint_rate,mean_guard_low_battery_risk,mean_action_override_rate,mean_decision_compute_sec,p95_decision_compute_sec,max_decision_compute_sec,mean_world_model_predicted_risk_reduction,mean_world_model_predicted_energy_reduction_wh,mean_world_model_predicted_throughput_delta,mean_world_model_predicted_time_increase_sec,mean_world_model_predicted_route_blocking_reduction_agent_steps,mean_world_model_predicted_charge_queue_reduction_agent_steps,world_model_risk_gate_threshold,world_model_energy_gate_threshold_wh,world_model_charge_queue_gate_threshold_agent_steps,mean_world_model_risk_gate_applied,mean_world_model_energy_gate_applied,mean_world_model_physical_gate_applied,mean_world_model_override_accepted,mean_world_model_risk_evidence_accepted,mean_world_model_energy_evidence_accepted,mean_world_model_charge_stagger_evidence_accepted,mean_world_model_safe_argmax_accepted,mean_world_model_ensemble_agreement_fraction,mean_world_model_ensemble_agreement_accepted,mean_world_model_analytical_future_conflict_agent_count,mean_world_model_operational_energy_action,mean_world_model_analytical_charge_staggering,mean_world_model_anti_stagnation_applied,mean_world_model_unsafe_candidate_filter_applied,mean_v146_shadow_recommended,mean_v146_predicted_normalized_gain,mean_v146_candidate_count,v146_final_override_count,mean_v146_permanent_fallback,mean_reward_component_composed_reward,mean_reward_component_local_reward_sum,mean_reward_component_local_reward_mean,mean_reward_component_global_reward,mean_reward_component_entropy_bonus,mean_reward_component_balance_penalty,mean_reward_component_waiting_jobs_penalty,mean_reward_component_deliveries_this_step,mean_reward_component_conflict_events,mean_reward_component_step_time_sec,fixed_time_reached,fixed_time_overshoot_sec,paired_arrival_count,paired_arrival_signature,v146_protocol,v146_phase,v146_decision_steps,v146_shadow_recommendation_count,v146_accepted_override_count,v146_accepted_override_rate
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1292.0,14413.533333333336,44.208452241643265,177.0,179.0,356.0,356.0,f77e1dc2acfe4691b421198f71bbd27b7e94c732dd93748b3cc8986e2693498a,-1.0,0.0,624.0,4.0,624.0,624.0,1286.2833333333333,0.029747120376066315,3.0,3.0,44.28333333333333,1.0,621.0,1242.0,0.0,0.0,1.0,44.72412481167747,0.8520212881954681,0.7210115348520436,physical_time_seconds,0.24463103647429885,18.666666666666668,0.6429767394531994,2796.981103429353,2904.5222408302934,0.0,0.0,7916.170091666912,22509.000000000022,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,Guarded DT-aware baseline,18001,18001,world_model_guarded,full,full,False,4.0,14400.0,none,15667.793895456061,1.0,0.3459752321981424,0.5363777089783281,0.3459752321981424,0.5363777089783281,0.05286736793218542,0.3459752321981424,0.00016648088285505582,0.0003209999995306134,0.00046090001706033945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12677546087928,22.745899298077116,7.581966432692374,-11.712395938087742,1.672081870411752,0.5788097695218438,13.522058823529411,0.1369969040247678,0.48297213622291024,11.155985552115585,1.0,13.533333333336486,356.0,f77e1dc2acfe4691b421198f71bbd27b7e94c732dd93748b3cc8986e2693498a,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1292,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1292.0,14413.533333333336,44.208452241643265,177.0,179.0,356.0,356.0,f77e1dc2acfe4691b421198f71bbd27b7e94c732dd93748b3cc8986e2693498a,-1.0,0.0,624.0,4.0,624.0,624.0,1286.2833333333333,0.029747120376066315,3.0,3.0,44.28333333333333,1.0,621.0,1242.0,0.0,0.0,1.0,44.72412481167747,0.8520212881954681,0.7210115348520436,physical_time_seconds,0.24463103647429885,18.666666666666668,0.6429767394531994,2796.981103429353,2904.5222408302934,0.0,0.0,7916.170091666912,22509.000000000022,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,V14.9-D horizon-isolated world model,18001,18001,world_model_guarded,full,full,False,4.0,14400.0,none,15667.793895456061,1.0,0.3459752321981424,0.5363777089783281,0.3459752321981424,0.5363777089783281,0.05286736793218542,0.3459752321981424,0.008524101547889294,0.021295320011267906,0.12928769999416545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02244582043343653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014672568258780156,1.458204334365325,0.0,0.0,12.12677546087928,22.745899298077116,7.581966432692374,-11.712395938087742,1.672081870411752,0.5788097695218438,13.522058823529411,0.1369969040247678,0.48297213622291024,11.155985552115585,1.0,13.533333333336486,356.0,f77e1dc2acfe4691b421198f71bbd27b7e94c732dd93748b3cc8986e2693498a,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1292,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1514.0,14405.900000000001,42.23269632581095,169.0,162.0,331.0,331.0,c244db28dd586bd34af9314f56964acde0935192377fdd6447b7e6f4d4264662,-1.0,0.0,900.0,6.0,900.0,900.0,1850.75,0.04282388928610268,5.0,5.0,60.75,1.0,895.0,1790.0,0.0,0.0,1.0,45.630537031560294,0.8486770321857169,0.6525951933880572,physical_time_seconds,0.27648351249273634,34.88888888888889,0.6279552899236504,2318.5047850118353,2411.5128344545064,0.0,0.0,7711.56075833369,22028.800000000025,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,Guarded DT-aware baseline,18002,18002,world_model_guarded,full,full,False,4.0,14400.0,none,-4662.326133789832,1.0,0.4117129018053721,0.621972699251431,0.4117129018053721,0.621972699251431,0.033797326885427866,0.4117129018053721,0.00015356591794639211,0.0003176150028593837,0.0005297000170685351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.079475649795141,13.447274917407158,4.482424972469055,-17.579012705418677,1.6824103842166729,0.6301482460002936,13.664365918097753,0.11162483487450463,0.5944517833553501,9.515125495376488,1.0,5.900000000001455,331.0,c244db28dd586bd34af9314f56964acde0935192377fdd6447b7e6f4d4264662,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1514,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1513.0,14418.916666666666,42.19457078952996,169.0,162.0,331.0,331.0,c244db28dd586bd34af9314f56964acde0935192377fdd6447b7e6f4d4264662,-1.0,0.0,899.0,5.0,899.0,899.0,1835.4333333333334,0.04243114273109592,4.0,4.0,45.43333333333334,1.0,895.0,1790.0,0.0,0.0,1.0,45.581810305722016,0.8485206657777357,0.6521457132879935,physical_time_seconds,0.2767221873892534,34.88888888888889,0.6267692325475218,2321.1060447017576,2413.885221042278,0.0,0.0,7703.325941667021,22009.800000000025,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,V14.9-D horizon-isolated world model,18002,18002,world_model_guarded,full,full,False,4.0,14400.0,none,-4613.456029539302,1.0,0.41198501872659177,0.622383784974664,0.41198501872659177,0.622383784974664,0.03381966484106926,0.41198501872659177,0.007173754395223029,0.021103939984459426,0.026370200008386746,0.0,0.0002812011818655736,5.063886821309384e-05,0.0,0.0,0.0010234829769651384,0.0,0.0,0.0,0.0,0.0,0.0,0.0006609385327164573,0.0,0.0,0.0,0.0,0.016523463317911435,0.0006609385327164573,0.0,0.0,0.0,0.0,0.0,0.0006609385327164573,0.0011066242575215692,1.2478519497686715,1.0,0.0,-3.0492108589156115,13.459211059843277,4.486403686614428,-17.561800652786147,1.6823865918520367,0.6290078578247779,13.660112359550562,0.1116986120290813,0.5941837409120951,9.53001762502754,1.0,18.91666666666606,331.0,c244db28dd586bd34af9314f56964acde0935192377fdd6447b7e6f4d4264662,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1513,1,1,0.0006609385327164573
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1361.0,14407.483333333334,43.22753569036462,173.0,204.0,377.0,377.0,9e89a8616ed797a1142f56bbd49af1b658a35f835d6118b7d9bacec03f65c37d,-1.0,0.0,731.0,20.0,731.0,731.0,1761.0,0.04074271588028906,19.0,20.0,339.00000000000006,1.0,711.0,1422.0,0.0,0.0,1.0,44.75870216763168,0.8506209351193073,0.692577229297104,physical_time_seconds,0.2504330162415094,17.555555555555557,0.6296955247408083,2435.827977910361,2528.164918601846,0.0,0.0,7743.255475000281,22054.60000000002,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,Guarded DT-aware baseline,18003,18003,world_model_guarded,full,full,False,4.0,14400.0,none,4203.838992025789,1.0,0.38182708792554493,0.570903747244673,0.38182708792554493,0.570903747244673,0.04704593344678376,0.38182708792554493,0.00016402255656580188,0.00032199997804127634,0.0004885999951511621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.088786915522272,18.778451282901113,6.25948376096704,-16.87958131938274,1.6858268221973802,0.49590987019348515,16.21135194709772,0.12711241734019105,0.5371050698016164,10.585953955424934,1.0,7.483333333333576,376.0,ec0b4e2f71ceb1d721cedb92c472899eaaa306f6066d9fc8daad4adc27f243a1,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1361,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1361.0,14407.483333333334,43.22753569036462,173.0,204.0,377.0,377.0,9e89a8616ed797a1142f56bbd49af1b658a35f835d6118b7d9bacec03f65c37d,-1.0,0.0,731.0,20.0,731.0,731.0,1761.0,0.04074271588028906,19.0,20.0,339.00000000000006,1.0,711.0,1422.0,0.0,0.0,1.0,44.75870216763168,0.8506209351193073,0.692577229297104,physical_time_seconds,0.2504330162415094,17.555555555555557,0.6296955247408083,2435.827977910361,2528.164918601846,0.0,0.0,7743.255475000281,22054.60000000002,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,V14.9-D horizon-isolated world model,18003,18003,world_model_guarded,full,full,False,4.0,14400.0,none,4203.838992025789,1.0,0.38182708792554493,0.570903747244673,0.38182708792554493,0.570903747244673,0.04704593344678376,0.38182708792554493,0.007989211682622677,0.02133200000389479,0.025420699996175244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02351212343864805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012607607129035633,1.373254959588538,0.0,0.0,3.088786915522272,18.778451282901113,6.25948376096704,-16.87958131938274,1.6858268221973802,0.49590987019348515,16.21135194709772,0.12711241734019105,0.5371050698016164,10.585953955424934,1.0,7.483333333333576,376.0,ec0b4e2f71ceb1d721cedb92c472899eaaa306f6066d9fc8daad4adc27f243a1,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1361,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1454.0,14417.73333333333,43.69618895249369,175.0,175.0,350.0,350.0,d378119ee2afa10a9d058f7c5380c43d3c31a540f1d91fd07bdd695f3d300afb,-1.0,0.0,841.0,8.0,841.0,841.0,1804.05,0.04170905274060648,7.0,7.0,136.05,1.0,834.0,1668.0,0.0,0.0,1.0,44.687126619049515,0.8473411506369715,0.6558607004285467,physical_time_seconds,0.2488068324541569,20.222222222222225,0.6363806608528392,2678.027466296244,2758.67408685786,0.0,0.0,7820.2471583336655,22293.600000000024,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,Guarded DT-aware baseline,18004,18004,world_model_guarded,full,full,False,4.0,14400.0,none,933.7206281831596,1.0,0.39293901879871623,0.6086657496561211,0.39293901879871623,0.6086657496561211,0.028545378004540236,0.39293901879871623,0.00015813198071174922,0.00031176999764284116,0.0006609999982174486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.642173747031072,15.780756476808975,5.2602521589363285,-16.536422187421877,1.6764578284218938,0.27861837077793067,13.958768913342505,0.1203576341127923,0.578404401650619,9.91591013296653,1.0,17.733333333329938,348.0,43892eb2392c55ecd57799edc5b80f89abeef6e20e05a59c2a561c3dd84bd398,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1454,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1454.0,14419.066666666664,43.692148359117105,175.0,175.0,350.0,350.0,d378119ee2afa10a9d058f7c5380c43d3c31a540f1d91fd07bdd695f3d300afb,-1.0,0.0,842.0,9.0,842.0,842.0,1823.7,0.04215945553572586,8.0,8.0,155.7,1.0,834.0,1668.0,0.0,0.0,1.0,44.67089328571619,0.8467893574284423,0.6553877450962836,physical_time_seconds,0.24843599938965796,20.222222222222225,0.6356556442241605,2642.8655727627047,2758.9767535245273,0.0,0.0,7817.406325000334,22282.600000000024,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,V14.9-D horizon-isolated world model,18004,18004,world_model_guarded,full,full,False,4.0,14400.0,none,845.7457101334418,1.0,0.39293901879871623,0.6086657496561211,0.39293901879871623,0.6086657496561211,0.028545378004540236,0.39293901879871623,0.007548355708532695,0.021193885008688084,0.024922299984609708,0.0,0.00029654891077721135,6.018949485546621e-05,0.0,0.0,0.0014351166917992426,0.0,0.0,0.0,0.0,0.0,0.0,0.000687757909215956,0.0,0.0,0.0,0.0,0.016506189821182942,0.000687757909215956,0.0,0.0,0.0,0.0,0.0,0.001375515818431912,0.0012526456802013318,1.296423658872077,1.0,0.0,0.5816683013297513,15.741028519674403,5.247009506558137,-16.553880760099783,1.6764401504972906,0.28191960874216737,13.958562585969739,0.1203576341127923,0.579092159559835,9.916827143512153,1.0,19.066666666663878,348.0,43892eb2392c55ecd57799edc5b80f89abeef6e20e05a59c2a561c3dd84bd398,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1454,2,1,0.000687757909215956
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1244.0,14411.30000000001,42.966283402607644,172.0,177.0,349.0,349.0,61a1ce88e3d00076938033b2e00df3c7d5069ec770116f1e20a114ae9f2fccdb,-1.0,0.0,572.0,10.0,572.0,572.0,1311.1833333333334,0.030327667254939582,9.0,9.0,185.18333333333334,1.0,563.0,1126.0,0.0,0.0,1.0,45.586913129846195,0.8547434579852404,0.7351907395690614,physical_time_seconds,0.2729631412828327,24.222222222222225,0.6393443570901537,2689.085242443113,2731.0155257178717,0.0,0.0,7840.9490583335455,22431.600000000024,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,Guarded DT-aware baseline,18005,18005,world_model_guarded,full,full,False,4.0,14400.0,none,18426.471677732403,1.0,0.3357449088960343,0.5163451232583066,0.3357449088960343,0.5163451232583066,0.04814536776527087,0.3357449088960343,0.00016641213859572193,0.00031361000146716827,0.000447300000814721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.812276268273585,24.253343928568523,8.084447976189509,-10.727774058134314,1.6878139362459499,0.40110753840657387,13.312379421221864,0.1382636655948553,0.45980707395498394,11.584646302250803,1.0,11.300000000010186,348.0,98e51d18834692b97bad98313fc5dd53cdfafb1655882e8de1c16abeb012db75,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1244,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,rush,dt_aware,baseline,poisson,independent_per_template_seedsequence_v1,1.0,3,1244.0,14411.30000000001,42.966283402607644,172.0,177.0,349.0,349.0,61a1ce88e3d00076938033b2e00df3c7d5069ec770116f1e20a114ae9f2fccdb,-1.0,0.0,572.0,10.0,572.0,572.0,1311.1833333333334,0.030327667254939582,9.0,9.0,185.18333333333334,1.0,563.0,1126.0,0.0,0.0,1.0,45.586913129846195,0.8547434579852404,0.7351907395690614,physical_time_seconds,0.2729631412828327,24.222222222222225,0.6393443570901537,2689.085242443113,2731.0155257178717,0.0,0.0,7840.9490583335455,22431.600000000024,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12b_rush_arrival_baseline_capacity_boundary,V14.9-D horizon-isolated world model,18005,18005,world_model_guarded,full,full,False,4.0,14400.0,none,18426.471677732403,1.0,0.3357449088960343,0.5163451232583066,0.3357449088960343,0.5163451232583066,0.04814536776527087,0.3357449088960343,0.008659585369659148,0.02137230999505846,0.024915799993323162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023311897106109324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009180616535244375,1.5112540192926045,0.0,0.0,14.812276268273585,24.253343928568523,8.084447976189509,-10.727774058134314,1.6878139362459499,0.40110753840657387,13.312379421221864,0.1382636655948553,0.45980707395498394,11.584646302250803,1.0,11.300000000010186,348.0,98e51d18834692b97bad98313fc5dd53cdfafb1655882e8de1c16abeb012db75,v149_rush_arrival_baseline_capacity_4h_development_v1,horizon_isolated_development,1244,0,0,0.0
