parameter_profile,env_variant,reward_mode,scenario,dispatch_rule,capacity_mode,arrival_process,arrival_stream_scheme,arrival_rate_multiplier,agv_count,steps,real_time_sec,uph,throughput,active_jobs,released_jobs,arrival_trace_count,arrival_trace_signature,max_released_jobs,release_cap_reached,conflict_count,blocking_onset_count,blocked_count,blocked_agent_steps,blocked_time_sec,blocked_time_ratio,route_blocking_onset_count,route_blocked_agent_steps,route_blocked_time_sec,charge_queue_onset_count,charge_queue_blocked_agent_steps,charge_queue_time_sec,deadlock_count,deadlock_resolution_time,energy_model_available,energy_efficiency_wh_per_sku,fleet_distribution_entropy,node_visit_entropy,fleet_distribution_entropy_basis,empty_running_ratio,load_balancing_variance,agv_utilization,avg_task_wait_time,avg_task_cycle_time,out_of_battery_rate,timeout_rate,total_energy_wh,total_distance_m,speed_max_mps,edge_speed_multiplier,acceleration_mps2,jerk_mps3,wait_time_s,lift_time_s,rotate_time_s,battery_capacity_wh,base_drive_wh_per_s,rolling_wh_per_m,acceleration_wh,idle_wh_per_s,loaded_energy_factor,charge_soc_per_min,charge_node_capacity,deadlock_soft_steps,deadlock_hard_steps,experiment,method,episode,seed,policy,execution_env_variant,policy_variant,fidelity_dispatch_mode,fixed_time_target_h,fixed_time_target_sec,job_release_cap,episode_reward,mean_guard_enabled,mean_guard_forced_rate,mean_guard_required_rate,mean_guard_intervention_rate,mean_guard_constraint_rate,mean_guard_low_battery_risk,mean_action_override_rate,mean_decision_compute_sec,p95_decision_compute_sec,max_decision_compute_sec,mean_world_model_predicted_risk_reduction,mean_world_model_predicted_energy_reduction_wh,mean_world_model_predicted_throughput_delta,mean_world_model_predicted_time_increase_sec,mean_world_model_predicted_route_blocking_reduction_agent_steps,mean_world_model_predicted_charge_queue_reduction_agent_steps,world_model_risk_gate_threshold,world_model_energy_gate_threshold_wh,world_model_charge_queue_gate_threshold_agent_steps,mean_world_model_risk_gate_applied,mean_world_model_energy_gate_applied,mean_world_model_physical_gate_applied,mean_world_model_override_accepted,mean_world_model_risk_evidence_accepted,mean_world_model_energy_evidence_accepted,mean_world_model_charge_stagger_evidence_accepted,mean_world_model_safe_argmax_accepted,mean_world_model_ensemble_agreement_fraction,mean_world_model_ensemble_agreement_accepted,mean_world_model_analytical_future_conflict_agent_count,mean_world_model_operational_energy_action,mean_world_model_analytical_charge_staggering,mean_world_model_anti_stagnation_applied,mean_world_model_unsafe_candidate_filter_applied,mean_v146_shadow_recommended,mean_v146_predicted_normalized_gain,mean_v146_candidate_count,v146_final_override_count,mean_v146_permanent_fallback,mean_reward_component_composed_reward,mean_reward_component_local_reward_sum,mean_reward_component_local_reward_mean,mean_reward_component_global_reward,mean_reward_component_entropy_bonus,mean_reward_component_balance_penalty,mean_reward_component_waiting_jobs_penalty,mean_reward_component_deliveries_this_step,mean_reward_component_conflict_events,mean_reward_component_step_time_sec,fixed_time_reached,fixed_time_overshoot_sec,paired_arrival_count,paired_arrival_signature,v146_protocol,v146_phase,v146_decision_steps,v146_shadow_recommendation_count,v146_accepted_override_count,v146_accepted_override_rate
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2600.0,14401.516666666705,15.99831499228665,64.0,76.0,140.0,140.0,7dab41ebfcdeea069bc18dde11bf343026cde3d988c42b28be649339d2cc23a2,-1.0,0.0,6563.0,237.0,6723.0,6723.0,20569.550000000057,0.47609684628123666,237.0,6723.0,20569.550000000057,0.0,0.0,0.0,115.0,50.729710144927694,1.0,70.17155026041823,0.80464074843433,0.7602311075558346,physical_time_seconds,0.37226183593499085,2.8888888888888893,0.3584344704435056,2709.7111097550655,3074.212703937629,0.0,0.0,4490.979216666767,12453.599999999995,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,Guarded DT-aware baseline,18001,18001,world_model_guarded,full,full,False,4.0,14400.0,none,-334786.2416543757,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022293734580251532,0.0003209049988072365,0.0008598999993409961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.76393909783712,-63.95965394544871,-21.319884648482905,-66.17190448717949,1.6319270270987758,0.2643076923076923,4.97376923076923,0.024615384615384615,2.524230769230769,5.5390448717948715,1.0,1.516666666704623,140.0,7dab41ebfcdeea069bc18dde11bf343026cde3d988c42b28be649339d2cc23a2,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,2600,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2600.0,14401.516666666705,15.99831499228665,64.0,76.0,140.0,140.0,7dab41ebfcdeea069bc18dde11bf343026cde3d988c42b28be649339d2cc23a2,-1.0,0.0,6560.0,239.0,6720.0,6720.0,20563.550000000057,0.47595797201915085,239.0,6720.0,20563.550000000057,0.0,0.0,0.0,115.0,50.729710144927694,1.0,70.17155026041819,0.8048354947446132,0.7610170871951183,physical_time_seconds,0.37226183593499085,2.8888888888888893,0.3584344704435056,2718.788032831989,3083.7439539376296,0.0,0.0,4490.979216666764,12453.599999999995,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,V14.9-S horizon-isolated world model,18001,18001,world_model_guarded,full,full,False,4.0,14400.0,none,-334616.63236542355,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000819645422967509,0.0006639199913479386,0.13770660001318902,0.0,0.0013954636683830848,-2.0970765214699965e-05,0.0,0.0,-0.00010633294398968037,0.0,0.0,0.0,0.0,0.0,0.0,0.0003846153846153846,0.0,0.0,0.0,0.0,0.004615384615384616,0.0003846153846153846,0.0,0.0,0.0,0.0,0.0,0.002692307692307692,0.0008379192023466413,0.061153846153846156,1.0,0.9453846153846154,-128.6987047559321,-63.931269330064104,-21.310423110021365,-66.13590448717949,1.6316656425080538,0.2631965811965812,4.966615384615384,0.024615384615384615,2.523076923076923,5.5390448717948715,1.0,1.516666666704623,140.0,7dab41ebfcdeea069bc18dde11bf343026cde3d988c42b28be649339d2cc23a2,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,2600,7,1,0.0003846153846153846
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2927.0,14415.53333333339,0.24973061466103594,1.0,115.0,116.0,116.0,4f96ac683c9884aa2666f4674fc2b124f80aadcf0b6edca359e44a7d0938e2cb,-1.0,0.0,7345.0,198.0,7345.0,7345.0,31443.483333333454,0.7270741129553152,198.0,7345.0,31443.483333333454,0.0,0.0,0.0,197.0,26.90211505922179,1.0,2421.2627999998977,0.5046556619990435,0.4860084370266632,physical_time_seconds,0.9783234323432342,0.22222222222222224,0.21857093968080735,28.16130745052604,169.03546785834715,0.0,0.0,2421.2627999998977,7574.999999999951,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,Guarded DT-aware baseline,18002,18002,world_model_guarded,full,full,False,4.0,14400.0,none,-409917.4915252601,1.0,0.10203849219906617,0.10374672588543447,0.10203849219906617,0.10374672588543447,2.8356114301484545e-05,0.10203849219906617,0.00019911735558909082,0.00020906999125145374,0.0004981000092811882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-140.04697353100818,-68.14894186727024,-22.716313955756746,-72.88156929734654,1.0274506275728412,0.04391299396424098,9.688349846258967,0.00034164673727365904,2.5093952852750254,4.925019929393008,1.0,15.533333333389237,116.0,4f96ac683c9884aa2666f4674fc2b124f80aadcf0b6edca359e44a7d0938e2cb,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,2927,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2927.0,14415.53333333339,0.24973061466103594,1.0,115.0,116.0,116.0,4f96ac683c9884aa2666f4674fc2b124f80aadcf0b6edca359e44a7d0938e2cb,-1.0,0.0,7342.0,201.0,7342.0,7342.0,31437.483333333454,0.7269353737249479,201.0,7342.0,31437.483333333454,0.0,0.0,0.0,197.0,26.881810490693873,1.0,2421.2627999998977,0.5046556619990435,0.4860084370266632,physical_time_seconds,0.9783234323432342,0.22222222222222224,0.21857093968080735,28.16130745052604,169.03546785834715,0.0,0.0,2421.2627999998977,7574.999999999951,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,V14.9-S horizon-isolated world model,18002,18002,world_model_guarded,full,full,False,4.0,14400.0,none,-409768.6915252601,1.0,0.10203849219906617,0.10374672588543447,0.10203849219906617,0.10374672588543447,2.8356114301484545e-05,0.10203849219906617,0.0006419692174202995,0.0005741800065152346,0.020350799983134493,0.0,0.0010623215895933953,-3.0398389199181634e-05,0.0,0.0,0.0004685099800169814,0.0,0.0,0.0,0.0,0.0,0.0,0.00034164673727365904,0.0,0.0,0.0,0.0,0.004441407584557568,0.00034164673727365904,0.0,0.0,0.0,0.0,0.0,0.0023915271609156134,0.0005991443653995653,0.04817218995558593,1.0,0.9795011957635804,-139.99613649650186,-68.12372833805944,-22.707909446019812,-72.85594579205102,1.0274506275728412,0.04391299396424098,9.688349846258967,0.00034164673727365904,2.5083703450632044,4.925019929393008,1.0,15.533333333389237,116.0,4f96ac683c9884aa2666f4674fc2b124f80aadcf0b6edca359e44a7d0938e2cb,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,2927,7,1,0.00034164673727365904
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2880.0,14413.899999999914,3.496624785797064,14.0,123.0,137.0,137.0,a155db8f876a09cd1a256c0f7d7a6450a020cc4ef6ce12c38fbff2dd3b1bb499,-1.0,0.0,6465.0,158.0,6505.0,6505.0,26428.71666666655,0.6111858846129248,158.0,6505.0,26428.71666666655,0.0,0.0,0.0,142.0,34.99037558685415,1.0,199.1522541666572,0.6766314830535725,0.6557453844289913,physical_time_seconds,0.8011076385697214,6.222222222222221,0.23853402309961624,277.36763465147123,552.1616319905232,0.0,0.0,2788.1315583332007,8703.2,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,Guarded DT-aware baseline,18003,18003,world_model_guarded,full,full,False,4.0,14400.0,none,-355096.8820044436,1.0,0.10370370370370371,0.10578703703703704,0.10370370370370371,0.10578703703703704,4.052401390718225e-05,0.10370370370370371,0.0002227135763860133,0.0002816049920511432,0.0005744999798480421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123.29752847376528,-59.2473422904948,-19.749114096831597,-64.47010069444445,1.499590437099892,1.0796759259259259,8.3359375,0.004861111111111111,2.2447916666666665,5.0048263888888895,1.0,13.899999999914144,137.0,a155db8f876a09cd1a256c0f7d7a6450a020cc4ef6ce12c38fbff2dd3b1bb499,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,2880,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2881.0,14415.899999999914,3.4961396791043433,14.0,123.0,137.0,137.0,a155db8f876a09cd1a256c0f7d7a6450a020cc4ef6ce12c38fbff2dd3b1bb499,-1.0,0.0,6465.0,160.0,6505.0,6505.0,26428.71666666655,0.6111010913104444,160.0,6505.0,26428.71666666655,0.0,0.0,0.0,142.0,34.99037558685415,1.0,199.15653988094292,0.6766615887016181,0.6558725764591204,physical_time_seconds,0.8011076385697214,6.222222222222221,0.23850092991457755,278.24263465147123,553.0187748476661,0.0,0.0,2788.1915583332006,8703.2,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,V14.9-S horizon-isolated world model,18003,18003,world_model_guarded,full,full,False,4.0,14400.0,none,-355104.5091318824,1.0,0.10366770797176907,0.10575031817655907,0.10366770797176907,0.10575031817655907,4.059259121512666e-05,0.10366770797176907,0.0010464335645590862,0.0008119999838527292,0.022999300010269508,0.0,0.0014947845223296727,-3.364899689354279e-05,0.0,0.0,0.0001345014394219242,0.0,0.0,0.0,0.0,0.0,0.0,0.0003471017007983339,0.0,0.0,0.0,0.0,0.00971884762235335,0.0003471017007983339,0.0,0.0,0.0,0.0,0.0,0.0031239153071850054,0.0007791573330826811,0.1034363068379035,1.0,0.8649774383894481,-123.25737908083416,-59.22719395925895,-19.742397986419647,-64.45039569593891,1.4997122905887683,1.079501716225076,8.335647344671987,0.004859423811176675,2.2440124956612286,5.003783408538703,1.0,15.899999999914144,137.0,a155db8f876a09cd1a256c0f7d7a6450a020cc4ef6ce12c38fbff2dd3b1bb499,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,2881,9,1,0.0003471017007983339
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,3309.0,14401.816666666742,0.7499053938797033,3.0,129.0,132.0,132.0,a4cbb1b795f1f425a74d3251ef38571dd8a492399f06ef35f6afe5d15fe85388,-1.0,0.0,8702.0,282.0,8702.0,8702.0,32239.50000000016,0.7461905847526178,282.0,8702.0,32239.50000000016,0.0,0.0,0.0,270.0,20.071604938271744,1.0,786.7178805555127,0.5111947269112604,0.48140903272561497,physical_time_seconds,0.9303015990823831,0.6666666666666666,0.21417861249757447,31.349362222510916,230.027950322698,0.0,0.0,2360.153641666538,5928.4,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,Guarded DT-aware baseline,18004,18004,world_model_guarded,full,full,False,4.0,14400.0,none,-495941.80260125035,1.0,0.05943386723078472,0.06023975017628689,0.05943386723078472,0.06023975017628689,6.359053364650399e-06,0.05943386723078472,0.00014362257501456902,0.00015552000259049236,0.00040160000207833946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.87664025423075,-73.65922967436033,-24.553076558120107,-77.18588143447164,1.0999775199247406,0.13150666532352842,11.096373526745241,0.0009066183136899365,2.6297975219099428,4.352316913468319,1.0,1.816666666742094,132.0,a4cbb1b795f1f425a74d3251ef38571dd8a492399f06ef35f6afe5d15fe85388,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,3309,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,3309.0,14401.816666666742,0.7499053938797033,3.0,129.0,132.0,132.0,a4cbb1b795f1f425a74d3251ef38571dd8a492399f06ef35f6afe5d15fe85388,-1.0,0.0,8699.0,282.0,8699.0,8699.0,32233.50000000016,0.7460517133833807,282.0,8699.0,32233.50000000016,0.0,0.0,0.0,269.0,20.067596034696546,1.0,786.5345472221794,0.5111942263436202,0.48140903272561497,physical_time_seconds,0.9303015990823831,0.6666666666666666,0.21408603158474981,31.349362222510916,230.027950322698,0.0,0.0,2359.6036416665384,5928.4,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,V14.9-S horizon-isolated world model,18004,18004,world_model_guarded,full,full,False,4.0,14400.0,none,-495672.58138403355,1.0,0.05953460259897249,0.06023975017628689,0.05953460259897249,0.06023975017628689,5.574490073796421e-06,0.05953460259897249,0.0006008951948189685,0.0005613999965135008,0.02141779998783022,0.0,0.000666096621894087,2.0158008511025368e-06,0.0,0.0,8.413567576173499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003022061045633122,0.0,0.0,0.0,0.0,0.003324267150196434,0.0003022061045633122,0.0,0.0,0.0,0.0,0.0,0.0006044122091266244,0.0002929021200734434,0.03747355696585071,1.0,0.9906316107585373,-149.79527995891038,-73.60053500829807,-24.533511669432688,-77.16321597662939,1.099977691340619,0.13150666532352842,11.096373526745241,0.0009066183136899365,2.6288909035962527,4.352316913468319,1.0,1.816666666742094,132.0,a4cbb1b795f1f425a74d3251ef38571dd8a492399f06ef35f6afe5d15fe85388,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,3309,2,1,0.0003022061045633122
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2362.0,14400.45000000004,17.749445329833392,71.0,61.0,132.0,132.0,cdf17e1ec534f76d93229abf80f703bd0224784d9da0e53d3a38ba52e5a00f04,-1.0,0.0,5848.0,184.0,5896.0,5896.0,17602.200000000015,0.407445600658312,184.0,5896.0,17602.200000000015,0.0,0.0,0.0,63.0,95.45107526881723,1.0,65.65881384976497,0.8460942980018727,0.834119908145176,physical_time_seconds,0.3288650044282992,6.888888888888889,0.3671166140255633,3331.2242353488573,3554.7404394066084,0.0,0.0,4661.775783333313,13323.399999999998,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,Guarded DT-aware baseline,18005,18005,world_model_guarded,full,full,False,4.0,14400.0,none,-289284.81342260336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002518519897673951,0.0003323899989482015,0.0005101999850012362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.47451880719873,-58.898427037838694,-19.6328090126129,-64.41583192209991,1.6734780396530358,0.8337378869131622,4.91538950042337,0.030059271803556307,2.4758679085520745,6.096718882303133,1.0,0.45000000004074536,132.0,cdf17e1ec534f76d93229abf80f703bd0224784d9da0e53d3a38ba52e5a00f04,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,2362,0,0,0.0
jms_interpretable_v2_energy_calibrated,full,hybrid,steady,dt_aware,stress,poisson,independent_per_template_seedsequence_v1,1.0,3,2362.0,14400.45000000004,17.749445329833392,71.0,61.0,132.0,132.0,cdf17e1ec534f76d93229abf80f703bd0224784d9da0e53d3a38ba52e5a00f04,-1.0,0.0,5840.0,187.0,5893.0,5893.0,17596.20000000002,0.4073067161095653,187.0,5893.0,17596.20000000002,0.0,0.0,0.0,62.0,95.45107526881723,1.0,65.65881384976493,0.8461443553326833,0.8344569368115056,physical_time_seconds,0.3288650044282992,6.888888888888889,0.3671166140255633,3341.4404515650735,3565.3883267305523,0.0,0.0,4661.77578333331,13323.399999999998,1.2,1.0,0.5,0.8,2.0,8.0,4.0,2400.0,0.06,0.14,0.35,0.01,1.55,2.0,2.0,6.0,40.0,N12a_steady_arrival_stress_capacity_boundary,V14.9-S horizon-isolated world model,18005,18005,world_model_guarded,full,full,False,4.0,14400.0,none,-288872.0447161134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001880713505042022,0.01869645999249769,0.02369249999173917,0.0,0.0010993478663587448,5.781003013789452e-07,0.0,0.0,-0.00016942217782026222,0.0,0.0,0.0,0.0,0.0,0.0,0.0004233700254022015,0.0,0.0,0.0,0.0,0.010584250635055038,0.0004233700254022015,0.0,0.0,0.0,0.0,0.0,0.0029635901778154107,0.0012641301962458683,0.3916172734970364,1.0,0.7946655376799323,-122.29976490944678,-58.816377926915735,-19.605459308971916,-64.32601397121083,1.6736553074303924,0.8310283187505881,4.910245554614733,0.030059271803556307,2.472480948348857,6.096718882303133,1.0,0.45000000004074536,132.0,cdf17e1ec534f76d93229abf80f703bd0224784d9da0e53d3a38ba52e5a00f04,v149_steady_arrival_stress_capacity_4h_development_v1,horizon_isolated_development,2362,7,1,0.0004233700254022015
